City,State,County,Rally,
Richmond,VA,Richmond City,1,
Moon,PA,Allegheny,1,
Tampa,FL,Hillsborough,1,
Greensboro,NC,Guilford,1,
Atlanta,GA,Cobb,1,
Dallas,TX,Dallas,1,
The Woodlands,TX,Montgomery,1,
Las Vegas,NV,Clark,1,
Phoenix,AZ,Maricopa,1,
Saint Clairsville,OH,Belmont,1,
Bangor,ME,Penobscot,1,
Raleigh,NC,Wake,1,
Cincinnati,OH,Hamilton,1,
Westfield,IN,Hamilton,1,
Winston Salem,NC,Forsyth,1,
Scranton,PA,Lackawanna,1,
Toledo,OH,Lucas,1,
Cedar Rapids,IA,Linn,1,
Davenport,FL,Polk,1,
Colorado Springs,CO,El Paso,1,
Denver,CO,Denver,1,
Columbus,OH,Franklin,1,
Mechanicsburg,PA,Cumberland,1,
Ashburn,VA,Loudoun,1,
Daytona Beach,FL,Volusia,1,
Jacksonville,FL,Duval,1,
Portland,ME,Cumberland,1,
Des Moines,IA,Polk,1,
Green Bay,WI,Brown,1,
Windham,NH,Rockingham,1,
Fayetteville,NC,Cumberland,1,
Wilmington,NC,New Hanover,1,
Sunrise,FL,Broward,1,
Kissimmee,FL,Osceola,1,
Altoona,PA,Blair,1,
Erie,PA,Erie,1,
West Bend,WI,Washington,1,
Charlotte,NC,Mecklenburg,1,
Dimondale,MI,Eaton,1,
Fredericksburg,VA,Fredericksburg City,1,
Akron,OH,Summit,1,
Austin,TX,Travis,1,
Tampa,FL,Hillsborough ,1,
Jackson,MS,Hinds,1,
Manchester,NH,Hillsborough,1,
Everett,WA,Snohomish,1,
Phoenix,AZ,Maricopa,1,
Wilmington,OH,Clinton,1,
Greenville,NC,Pitt,1,
Pensacola,FL,Escambia,1,
Asheville,NC,Buncombe,1,
Clive,IA,Polk,1,
Canton,OH,Stark,1,
Laconia,NH,Belknap,1,
Miami,FL,Miami-Dade,1,
Colorado Springs,CO,El Paso,1,
Estero,FL,Lee,1,
High Point,NC,Guilford,1,
Kenansville,NC,Duplin,1,
Toledo,OH,Lucas,1,
Chester,PA,Delaware,1,
Roanoke,VA,Roanoke,1,
Melbourne,FL,Brevard,1,
Council Bluffs,IA,Pottawattamie,1,
Waukesha,WI,Waukesha,1,
Bedford,NH,Hillsborough,1,
Novi,MI,Oakland,1,
Manheim,PA,Lancaster,1,
Pueblo,CO,Pueblo,1,
Loveland,CO,Larimer,1,
Prescott Valley,AZ,Yavapai,1,
Henderson,NV,Clark,1,
Reno,NV,Washoe,1,
Ambridge,PA,Beaver,1,
Wilkes Barre,PA,Luzerne,1,
Panama City Beach,FL,Bay,1,
Ocala,FL,Marion,1,
Lakeland,FL,Polk,1,
West Palm Beach,FL,Palm Beach,1,
Cincinnati,OH,Hamilton ,1,
Greensboro,NC,Guilford,1,
Charlotte,NC,Mecklenburg,1,
Portsmouth,NH,Rockingham,1,
Bangor,ME,Penobscot,1,
Green Bay,WI,Brown,1,
Colorado Springs,CO,El Paso,1,
Grand Junction,CO,Mesa,1,
Delaware,OH,Delaware,1,
Fletcher,NC,Henderson,1,
Johnstown,PA,Cambria,1,
Newtown,PA,Bucks,1,
Virginia Beach,VA,Virginia Beach,1,
Cleveland,OH,Cuyahoga,1,
Naples,FL,Collier,1,
Saint Augustine,FL,St. Johns,1,
Tampa,FL,Hillsborough,1,
Sanford,FL,Seminole,1,
Tallahassee,FL,Leon,1,
Kinston,NC,Lenoir,1,
Springfield,OH,Clark,1,
Toledo,OH,Lucas,1,
Geneva,NY,Ontario,1,
Manchester,NH,Hillsborough,1,
Cedar Rapids,IA,Linn,1,
Golden,CO,Jefferson,1,
Phoenix,AZ,Maricopa,1,
Las Vegas,NV,Clark,1,
Greeley,CO,Weld,1,
Albuquerque,NM,Sandoval,1,
Grand Rapids,MI,Kent,1,
Warren,MI,Macomb,1,
Eau Claire,WI,Eau Claire,1,
Orlando,FL,Orange,1,
Pensacola,FL,Escambia,1,
Miami,FL,Miami-Dade,1,
Jacksonville,FL,Duval,1,
Concord,NC,Cabarrus,1,
Selma,AL,Dallas,1,
Atkinson,NH,Rockingham,1,
Wilmington,DE,New Castle,1,
Hershey,PA,Dauphin,1,
Tampa,FL,Hillsborough,1,
Wilmington,DE,New Castle,1,
Reno,NV,Washoe,1,0
Denver,CO,Denver,1,
Sioux City,IA,Woodbury,1,
Minneapolis,MN,Hennepin,1,
Sterling Heights,MI,Macomb,1,
Moon,PA,Allegheny,1,
Leesburg,FL,Lake,1,
Sarasota,FL,Sarasota,1,
Raleigh,NC,Wake,1,
Scranton,PA,Lackawanna,1,
Manchester,NH,Hillsborough,1,
Grand Rapids,MI,Kent,1,
